"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"radar:Radar:1                         ","Class","Radar","1.0.0.0","radar","This class is the top level class that contains other radar classes, separated by sub-discipline.","sbn","","","","","","","","","","",""
"radar:Groundbased_Radar:1             ","Class","Groundbased_Radar","1.0.0.0","radar","This class contains attributes that describe metadata pertinent to radar observations / data from Arecibo, Goldstone, and similar installations.","sbn","","","","","","","","","","",""
"radar:Groundbased_Radar:2              radar:observation_purpose:1           ","Attribute","observation_purpose","n/a","radar","Type of radar experiment being performed. Simpler experiments can have higher signal-to-noise or simpler hardware configurations, while more complicated experiments provide more information. ‘Range’ and ‘Total Power’ are mostly historical.","sbn","UTF8_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"radar:Groundbased_Radar:2              radar:observation_purpose:2            Value:Doppler","Value","Doppler","","","Received signal is analyzed as a function of Doppler shift with separation by range."
"radar:Groundbased_Radar:2              radar:observation_purpose:2            Value:Range","Value","Range","","","Transmitted signal is modulated in order to resolve and/or local the target in range, but the entire received signal is analyzed without separation by Doppler shift."
"radar:Groundbased_Radar:2              radar:observation_purpose:2            Value:Range-Doppler","Value","Range-Doppler","","","Transmitted signal is modulated in order to resolve and/or locate the target in range. Received signal is analyzed as a function of Doppler shift in each range bin."
"radar:Groundbased_Radar:2              radar:observation_purpose:2            Value:Total Power","Value","Total Power","","","Only the total echo power is measured, with no separation in range or Doppler shift."
"radar:Transmitter_Properties:1        ","Class","Transmitter_Properties","1.0.0.0","radar","Transmitter properties","sbn","","","","","","","","","","",""
"radar:Transmitter_Properties:2         radar:range_resolution:1              ","Attribute","range_resolution","n/a","radar","range resolution of images","sbn","ASCII_Real","0","1","0","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","REAL"
"radar:Transmitter_Properties:2         radar:tx_power:1                      ","Attribute","tx_power","n/a","radar","transmitter power input to antenna","sbn","ASCII_Real","1","1","0","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"radar:Modulation:1                    ","Class","Modulation","1.0.0.0","radar","Modulation","sbn","","","","","","","","","","",""
"radar:Modulation:2                     radar:power_modulation:1              ","Attribute","power_modulation","n/a","radar","On/off modulation (pulsing) of the transmitted power with time to provide range resolution, allow reception of echo in gaps, or cooling of the transmitter. Power modulation other than pulsing should be included in waveform modulation.","sbn","UTF8_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"radar:Modulation:2                     radar:power_modulation:2               Value:CW","Value","CW","","","Continuous Wave. Transmitter operates continuously while in operation."
"radar:Modulation:2                     radar:power_modulation:2               Value:Pulsed","Value","Pulsed","","","The transmitter operates for a series of short intervals, typically microseconds or milliseconds, while in operation."
"radar:Modulation:2                     radar:waveform_modulation:1           ","Attribute","waveform_modulation","n/a","radar","Additional modulation of the amplitude, phase or frequency of the transmitted signal, usually to provide range resolution. Referred to as “pulse compression” in some literature.","sbn","UTF8_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"radar:Modulation:2                     radar:waveform_modulation:2            Value:Barker BPSK","Value","Barker BPSK","","","A Barker Binary Phase Shift code is applied, usually to a pulse, to improve range resolution."
"radar:Modulation:2                     radar:waveform_modulation:2            Value:Linear Chirp","Value","Linear Chirp","","","A repeating sawtooth linear frequency ramp is applied to the transmitted signal in order to resolve the target in range."
"radar:Modulation:2                     radar:waveform_modulation:2            Value:Non-repeating BPSK","Value","Non-repeating BPSK","","","A non-repeating pseudo-random code is applied to the transmitted signal using Binary Phase-Shift Keying in order to resolve the target in range."
"radar:Modulation:2                     radar:waveform_modulation:2            Value:Other","Value","Other","","","A modulation beyond a pulse and other than described above is applied to the signal."
"radar:Modulation:2                     radar:waveform_modulation:2            Value:Other BPSK","Value","Other BPSK","","","A code other than those described above is applied to the transmitted signal using Binary Phase-Shift Keying."
"radar:Modulation:2                     radar:waveform_modulation:2            Value:Other Chirp","Value","Other Chirp","","","A frequency ramp other than described above is applied to the transmitted signal."
"radar:Modulation:2                     radar:waveform_modulation:2            Value:Repeating LFSR BPSK","Value","Repeating LFSR BPSK","","","A maximal-length Linear Feedback Shift Register code is applied to the transmitted signal using Binary Phase-Shift Keying, in order to resolve the target in range."
"radar:Modulation:2                     radar:waveform_modulation:2            Value:Uncoded","Value","Uncoded","","","No additional modulation beyond a pulse (if present) is applied to the signal in order to encode range information."
"radar:Quality:1                       ","Class","Quality","1.0.0.0","radar","Quality","sbn","","","","","","","","","","",""
"radar:Quality:2                        radar:matched_snr:1                   ","Attribute","matched_snr","n/a","radar","total matched-filter signal-to-noise ratio in one run","sbn","ASCII_Real","0","1","0","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"radar:Quality:2                        radar:pixel_number:1                  ","Attribute","pixel_number","n/a","radar","number of pixels in an image with measurable signal","sbn","ASCII_Integer","0","1","0","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"radar:Target_Properties:1             ","Class","Target_Properties","1.0.0.0","radar","Target Properties","sbn","","","","","","","","","","",""
"radar:Target_Properties:2              radar:roundtrip_lighttime:1           ","Attribute","roundtrip_lighttime","n/a","radar","round trip lighttime to target at time of observation","sbn","ASCII_Real","0","1","0","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","REAL"
"radar:Target_Properties:2              radar:range_depth:1                   ","Attribute","range_depth","n/a","radar","number of pixels in an image with measurable signal","sbn","ASCII_Integer","0","1","0","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
